audio,work_guess,section_guess,verse_guess,part,text_id,text,chandas,syllable_count,duration_seconds,duration_check,confidence,band,review_status,review_reason,signal,audio_quality,qc_flags,action
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS1.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,1,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:1,"ब्रह्मादयः सुरगणाः मुनयोऽथ सिद्धाः सत्वैकतानमतयो वचसां प्रवाहैः
नान्तं परस्य परतोऽप्यधुनाऽपि यान्ति किं तोष्टुमर्हति स मे हरिरुग्रजातेः",वसन्ततिलका,56,21.824,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS10.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,10,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:10,"यस्मात् प्रियाप्रियवियोगसुयोगजन्म
शोकाग्निना सकलयोनिषु दह्यमानः
दुःखौषधं तदपि दुःखमतद्धियाऽहं
भूमन् भ्रमामि वद मे तव दास्ययोगम्",वसन्ततिलका,56,17.579,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS11.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,11,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:11,"सोऽहं प्रियस्य सुहृदः परदेवताया
लीलाकथास्तव नृसिंह विरिञ्चगीताः
अञ्जस्तराम्यनुगृणन् गुणविप्रमुक्तो
दुर्गाणि ते पदयुगालयहंससङ्गः",वसन्ततिलका,56,17.088,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS2.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,2,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:2,"मन्ये धनाभिजनरूपतपः श्रुतौज स्तेजःप्रभावबलपौरुषबुद्धियोगाः
नाराधनाय हि भवन्ति परस्य पुंसो भत्त्या तुतोष भगवान् ननु यूथपाय",वसन्ततिलका,56,18.155,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS3.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,3,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:3,"विप्राद् द्विषड्गुणयुतादरविन्दनाभ
पादारविन्दविमुखाच्छ्वपचं वरिष्ठम्
मन्ये तदर्पितमनोवचनात्मगेह
प्राणः पुनाति सकलं न तु भूरिमानः",वसन्ततिलका,56,17.301,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,B,"[""hot_peaks""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS4.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,4,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:4,"नैवात्मनः प्रभुरयं निजलाभपूर्णो
मानं जनादविदुषः करुणो वृणीते
यद् यज्जनो भगवते विदधीत मानं
तच्चात्मने प्रतिमुखस्य यथा मुखश्रीः",वसन्ततिलका,56,17.173,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,B,"[""hot_peaks""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS5.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,5,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:5,"तस्मादहं विगतविक्लव ईश्वरस्य
सर्वात्मना न हि गृणामि यथामनीषम्
नीचोऽजया गुणविसर्गमनुप्रविष्टः
पूयेत येन हि पुमाननुवर्णितेन",वसन्ततिलका,56,16.832,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,B,"[""hot_peaks""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS6.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,6,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:6,"सर्वे ह्यमी विधिकरास्तव सत्त्वधाम्नो
ब्रह्मादयो वयमिवेश न चोद्विजन्तः
क्षेमाय भूतय उत आत्मसुखाय चास्य
विक्रीडितं भगवतो रुचिरावतारैः",अज्ञातम्,57,18.56,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS7.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,7,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:7,"तद् यच्छ मन्युमसुरश्च हतस्त्वयाऽद्य
मोदेत साधुरपि वृश्चिकसर्पहत्या
लोकाश्च निर्वृतिमिताः प्रतियान्तु सर्वे
रूपं नृसिंह विभवाय जनाः स्मरन्ति",वसन्ततिलका,56,17.515,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS8.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,8,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:8,"नाहं बिभेम्यजित तेऽतिभयानकास्य
जिह्माग्निनेत्रभृकुटीर भसोग्रदंष्ट्रात्
आन्त्रस्रजः क्षतजकेसरशङ्कुकर्णा
न्निर्हादभीतदिगिभादरिभिन्नखाग्रात्",वसन्ततिलका,56,18.347,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS9.mp3,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,9,full,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:9,"त्रस्तोऽस्म्यहं कृपणवत्सल दुःसहोग्र
संसारचक्रकदनात् कृशतां प्रणीतः
बद्धः स्वकर्मभिरुशत्तम तेऽङ्गिमूलं
भीतापवर्गमरणं समियां कदा नु",वसन्ततिलका,56,18.048,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,A,[],none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.01.mp3,raghavendra_vijaya,sarga_1,1,full,raghavendra_vijaya:sarga_1:1,"श्रीमल्लक्ष्मीनृसिंहस्य श्रियं दिशतु मे नखः
स्वभक्ताभीष्टदानाय समुपात्तदशाकृतेः",अनुष्टुप्,32,17.304,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,D,"[""clipping""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.02.mp3,raghavendra_vijaya,sarga_1,2,full,raghavendra_vijaya:sarga_1:2,"वस्तु स्तुतं सुरस्तोमैरस्तु शस्तं मया स्तुतम्
मस्तुहस्तं प्रस्तुताय श्रुतिमस्तकविश्रुतम्",अनुष्टुप् (vipulā/irregular — unverified),32,17.52,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,D,"[""clipping""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.03.mp3,raghavendra_vijaya,sarga_1,3,full,raghavendra_vijaya:sarga_1:3,"श्रीमदानन्दतीर्थेन्दुभासनं मम मानसे
आशासे साधुशब्दार्थसरिदीशाभिवृद्धये",अनुष्टुप्,32,16.944,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,D,"[""clipping""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.04.mp3,raghavendra_vijaya,sarga_1,4,full,raghavendra_vijaya:sarga_1:4,"श्रीराघवेन्द्ररत्नानां रसनारङ्गनर्तकी
शब्दाम्बुधिशरज्ज्योत्स्ना शरणं मम शारदा",अनुष्टुप्,32,17.088,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,D,"[""clipping""]",none (spot-check optional)
kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.05.mp3,raghavendra_vijaya,sarga_1,5,full,raghavendra_vijaya:sarga_1:5,"कठिनापि कविश्लाघ्या त्रिविक्रमसरस्वती
सुवर्णयोगसन्दृश्या वरा वज्रमणिर्यथा",अनुष्टुप्,32,16.728,plausible,1.0,1.00 exact,auto_accepted,,dge_linked,D,"[""clipping""]",none (spot-check optional)
